module_code,measured,weighted,files
ALA100,0.5508184396429666,0.6008184396429667,384
ALA101,0.6607253873151406,0.7107253873151407,333
ALA102,0.5029803835922055,0.5529803835922056,90
ALA103,0.6931150371002212,0.7431150371002212,39
ALA104,0.6519831850214886,0.7019831850214886,14
ECN200,0.7528728602271668,0.8028728602271669,222
ECN201,0.570988837913733,0.620988837913733,92
ECN202,0.5368517638874255,0.5868517638874255,161
ECN203,0.6617965398604071,0.7117965398604071,239
ECN204,0.7792047215506719,0.8292047215506719,491
