module_code,measured,weighted,files
ALA100,0.7911480407718506,0.8411480407718507,104
ALA101,0.8514902265544678,0.9014902265544679,266
ALA102,0.7379438378848909,0.787943837884891,268
ALA103,0.8666035324352087,0.9166035324352088,14
ALA104,0.765355897927533,0.815355897927533,71
ECN200,0.6157694315624939,0.6657694315624939,430
ECN201,0.7910762536250121,0.8410762536250121,215
ECN202,0.7154889288162982,0.7654889288162983,228
ECN203,0.8701782933252001,0.9201782933252002,364
ECN204,0.8595493563342734,0.9095493563342735,66
