module_code,measured,weighted,files
ALA100,0.5504444068631239,0.600444406863124,269
ALA101,0.6271022120886957,0.6771022120886957,253
ALA102,0.7360027386345181,0.7860027386345182,288
ALA103,0.6041675802844014,0.6541675802844015,278
ALA104,0.6850853183384534,0.7350853183384535,72
ECN200,0.7685824410837097,0.8185824410837097,107
ECN201,0.8362749879487428,0.8862749879487428,247
ECN202,0.8103108129260279,0.860310812926028,321
ECN203,0.6368538986934269,0.686853898693427,202
ECN204,0.6344257190569864,0.6844257190569865,415
